Rank,id,score,name,Organization,HM
1,008,370.0,San Diego Math Circle,San Diego Math Circle,
2,013,369.0,Random Math,Random Math,
3,014,355.0,Gunn High: Roger Fan Club,Henry M. Gunn High School,
4,028,349.0,Saratoga,Saratoga High School,
5,006,345.0,YEA Spice,Youth Euclid Association,
6,020,339.0,AlphaStar AIR,AlphaStar Academy,
7,010,336.0,Lynbrook Vikings,Lynbrook High School,
8,036,298.0,AlphaStar EARTH,AlphaStar Academy,
9,011,267.0,Proof School,Proof School,
10,039,255.0,Canyon Crest Conspiracy,Canyon Crest Academy,
11,009,253.0,Saint Francis High School,Saint Francis High School,
12,005,235.0,LCHS-P,La Canada High School,
13,007,229.0,Quarry Lane Cougars,Quarry Lane School,
14,040,216.0,Homestead High Mustangs,Homestead High School,
15,032,214.0,Amador Valley High School,Amador Valley High School,
16,012,185.0,TKA,The King's Academy,
17,038,182.0,Mission San Jose,MSJ Math Club,
18,022,176.0,EDUBUS,EDUBUS,
19,031,175.0,BISV Bobcats,Basis Independent Silicon Valley,
20,023,172.0,Harker Eagles,The Harker School,
21,016,150.0,Irvington High Blue,Irvington High School,
22,004,149.0,Menlo School,Menlo School,
22,029,149.0,DVHS,Dougherty Valley High School,
24,027,145.0,San Mateo Bearcats,San Mateo High School,
24,041,145.0,Paly Trolls,Palo Alto High School,
26,017,143.0,LAHS,Los Altos High School,
27,018,140.0,Athemath,Athemath,
28,025,124.0,Leland High: Almaden Platyπ,Leland High School,
29,003,97.0,SCMC Limit Breakers,Santa Clara Math Circle,
30,001,71.0,CAMS,California Academy of Mathematics and Science,
31,026,66.0,Terra Linda High: Super Secret Math Club,Terra Linda High School,
32,035,60.0,Mountain House Mustangs,Mountain House High School,
33,019,56.0,LCHS-Q,La Canada High School,
33,034,56.0,Milpitas High: AP® Sleep Deprivation >:),Milpitas High School Math Club,
35,015,54.0,West Ranch High School,West Ranch High School,
36,030,47.0,Lowell,Lowell High School,
37,033,44.0,SCHSMathletes,Santa Clara High School,
38,021,32.0,Stratford Math Circles,Stratford Preparatory Blackford,
39,024,20.0,Monte Vista: Allen's Apostles,Monte Vista High School,
