overall
Rank,ID,Score,Name,Organization
1,013,639.8067292757097,Random Math,Random Math,
2,020,632.6701025642568,AlphaStar AIR,AlphaStar Academy,
3,014,584.105182573177,Gunn High: Roger Fan Club,Henry M. Gunn High School,
4,028,574.3598226723076,Saratoga,Saratoga High School,
5,008,573.3968862922798,San Diego Math Circle,San Diego Math Circle,
6,011,555.8688242246884,Proof School,Proof School,
7,006,507.1722209746215,YEA Spice,Youth Euclid Association,
8,036,499.5896608709842,AlphaStar EARTH,AlphaStar Academy,
9,010,485.0257517381918,Lynbrook Vikings,Lynbrook High School,
10,039,392.0173901649248,Canyon Crest Conspiracy,Canyon Crest Academy,
11,038,354.62982689286775,Mission San Jose,MSJ Math Club,
12,031,342.6782738078889,BISV Bobcats,Basis Independent Silicon Valley,
13,032,333.49308509741826,Amador Valley High School,Amador Valley High School,
14,004,332.82362915094154,Menlo School,Menlo School,
15,007,317.7040410361694,Quarry Lane Cougars,Quarry Lane School,
16,023,312.52491593865886,Harker Eagles,The Harker School,
17,040,298.94019858995017,Homestead High Mustangs,Homestead High School,
18,009,295.0862427195718,Saint Francis High School,Saint Francis High School,
19,012,294.883547423621,TKA,The King's Academy,
20,025,277.51717647254355,Leland High: Almaden Platyπ,Leland High School,
21,017,266.69932767886576,LAHS,Los Altos High School,
22,041,262.24924038396273,Paly Trolls,Palo Alto High School,
23,029,255.020406439494,DVHS,Dougherty Valley High School,
24,018,250.19991350595885,Athemath,Athemath,
25,005,233.96246578330877,LCHS-P,La Canada High School,
26,016,232.94769183330533,Irvington High Blue,Irvington High School,
27,027,222.0969648879022,San Mateo Bearcats,San Mateo High School,
28,034,166.49140424628047,Milpitas High: AP® Sleep Deprivation >:),Milpitas High School Math Club,
29,022,159.3227875200049,EDUBUS,EDUBUS,
30,003,154.99460731905927,SCMC Limit Breakers,Santa Clara Math Circle,
31,030,144.00653229174517,Lowell,Lowell High School,
32,033,143.81079274531544,SCHSMathletes,Santa Clara High School,
33,021,135.98248846758244,Stratford Math Circles,Stratford Preparatory Blackford,
34,019,123.94272666990823,LCHS-Q,La Canada High School,
35,015,117.5358542364237,West Ranch High School,West Ranch High School,
36,001,111.82869299547467,CAMS,California Academy of Mathematics and Science,
37,024,111.59748047004294,Monte Vista: Allen's Apostles,Monte Vista High School,
38,035,103.03751925852269,Mountain House Mustangs,Mountain House High School,
39,026,96.73793839041191,Terra Linda High: Super Secret Math Club,Terra Linda High School,
40,037,58.45567109262518,Cupertino High Red,Cupertino High School,
41,002,0.0,Los Gatos High School,Los Gatos High School,
