id,name,score,rank
013,Random Math,143.15,1
020,AlphaStar AIR,140.8,2
008,San Diego Math Circle,129.08,3
014,Gunn High: Roger Fan Club,128.23,4
028,Saratoga,128.23,4
011,Proof School,126.28,5
006,YEA Spice,119.32,6
036,AlphaStar EARTH,114.1,7
010,Lynbrook Vikings,108.6,8
039,Canyon Crest Conspiracy,88.96,9
038,Mission San Jose,83.67,10
031,BISV Bobcats,81.84,11
004,Menlo School,76.81,12
032,Amador Valley High School,74.34,13
007,Quarry Lane Cougars,74.22,14
023,Harker Eagles,71.91,15
012,TKA,68.34,16
009,Saint Francis High School,67.15,17
040,Homestead High Mustangs,65.25,18
025,Leland High: Almaden Platyπ,63.32,19
029,DVHS,59.12,20
017,LAHS,59.11,21
018,Athemath,57.57,22
041,Paly Trolls,55.49,23
027,San Mateo Bearcats,54.42,24
016,Irvington High Blue,50.09,25
005,LCHS-P,44.94,26
034,Milpitas High: AP® Sleep Deprivation >:),39.28,27
022,EDUBUS,35.95,28
003,SCMC Limit Breakers,35.59,29
033,SCHSMathletes,33.24,30
030,Lowell,33.14,31
019,LCHS-Q,30.13,32
015,West Ranch High School,29.6,33
021,Stratford Math Circles,29.05,34
024,Monte Vista: Allen's Apostles,25.18,35
001,CAMS,24.22,36
035,Mountain House Mustangs,22.93,37
026,Terra Linda High: Super Secret Math Club,21.49,38
037,Cupertino High Red,14.46,39
002,Los Gatos High School,0,40
PLACEHOLDER,,0,40
